Name,Initial Apps,Bench Apps,Total Apps,Mins,Mins/App,Gls,Goals/90,xG,xG Overperformance,NP-xG,NP xG/90,Shots,ShT,% Shots on Target,Hdrs A,Hdrs,% Headers Won,Drb,Dribbles/90,Pens,Pens S,% Penalties Scored
Agustín Marchesín,50,0,50,4164,83,0,NaN,0.0,NaN,0.0,NaN,0,0,NaN,0,0,NaN,0,0.0,0,0,NaN
Brenno,14,5,19,1548,81,0,NaN,0.0,NaN,0.0,NaN,0,0,NaN,0,0,NaN,0,0.0,0,0,NaN
Gabriel Grando,5,1,6,498,83,0,NaN,0.0,NaN,0.0,NaN,0,0,NaN,0,0,NaN,0,0.0,0,0,NaN
Geromel,28,0,28,2148,77,0,0.00,0.88,-0.88,0.88,0.04,11,1,9.0,180,118,66.0,1,0.04,0,0,NaN
Rodrigo Caio,8,9,17,743,44,0,0.00,0.24,-0.24,0.24,0.03,5,2,40.0,55,41,75.0,2,0.24,0,0,NaN
Pablo Santos,9,1,10,899,90,0,0.00,0.07,-0.07,0.07,0.01,2,1,50.0,71,53,75.0,1,0.1,0,0,NaN
Jemerson,15,2,17,1451,85,1,0.06,0.69,0.31,0.69,0.04,5,3,60.0,121,93,77.0,7,0.43,0,0,NaN
Rodrigo Ely,39,1,40,3476,87,1,0.03,3.46,-2.46,3.46,0.09,31,3,10.0,298,196,66.0,2,0.05,0,0,NaN
Gustavo Martins,21,20,41,2675,65,0,0.00,3.26,-3.26,3.26,0.11,24,5,21.0,217,146,67.0,6,0.2,0,0,NaN
Walter Kannemann,51,0,51,4034,79,0,0.00,1.28,-1.28,1.28,0.03,14,1,7.0,253,179,71.0,3,0.07,0,0,NaN
João Pedro,58,1,59,4942,84,1,0.02,4.08,-3.08,4.08,0.07,36,8,22.0,198,79,40.0,113,2.06,0,0,NaN
Fábio,14,12,26,1393,54,0,0.00,0.48,-0.48,0.48,0.03,6,2,33.0,75,43,57.0,30,1.94,0,0,NaN
Reinaldo,52,0,52,4293,83,0,0.00,1.08,-1.08,1.08,0.02,10,3,30.0,165,84,51.0,103,2.16,0,0,NaN
Zé Guilherme,7,8,15,837,56,0,0.00,0.28,-0.28,0.28,0.03,2,1,50.0,51,37,73.0,11,1.18,0,0,NaN
Dodi,32,11,43,2594,60,1,0.03,2.39,-1.39,2.39,0.08,23,3,13.0,82,23,28.0,14,0.49,0,0,NaN
Du Queiróz,43,22,65,4172,64,2,0.04,5.13,-3.13,5.13,0.11,50,11,22.0,116,38,33.0,36,0.78,0,0,NaN
Felipe Carballo,7,5,12,584,49,0,0.00,0.08,-0.08,0.08,0.01,1,0,0.0,23,14,61.0,6,0.92,0,0,NaN
Mathías Villasanti,48,0,48,3982,83,4,0.09,4.27,-0.27,4.27,0.10,33,12,36.0,168,103,61.0,37,0.84,0,0,NaN
Franco Cristaldo,7,12,19,931,49,3,0.29,3.67,-0.67,3.67,0.35,21,8,38.0,38,5,13.0,7,0.68,1,1,100.0
Willian,35,19,54,2664,49,11,0.37,7.06,3.94,7.06,0.24,74,31,42.0,128,24,19.0,69,2.33,3,3,100.0
Cristian Pavón,40,12,52,3881,75,4,0.09,7.65,-3.65,7.65,0.18,70,27,39.0,183,48,26.0,127,2.95,0,0,NaN
Nathan,1,8,9,202,22,0,0.00,0.2,-0.20,0.2,0.09,2,0,0.0,6,0,0.0,1,0.45,0,0,NaN
Jhonata Robert,2,10,12,312,26,1,0.29,2.08,-1.08,2.08,0.60,15,6,40.0,19,4,21.0,9,2.6,0,0,NaN
Gabriel Silva,30,0,30,1828,61,5,0.25,6.15,-1.15,6.15,0.30,50,22,44.0,134,30,22.0,29,1.43,0,0,NaN
Éverton Galdino,1,5,6,160,27,0,0.00,1.38,-1.38,1.38,0.78,9,1,11.0,8,3,38.0,4,2.25,0,0,NaN
Gustavo Silva,2,12,14,295,21,0,0.00,1.67,-1.67,1.67,0.51,9,4,44.0,16,5,31.0,11,3.36,0,0,NaN
Martin Braithwaite,53,0,53,4024,76,17,0.38,12.48,4.52,12.48,0.28,121,61,50.0,279,71,25.0,63,1.41,0,0,NaN
Alexander Aravena,0,14,14,299,21,1,0.30,1.84,-0.84,1.84,0.55,18,9,50.0,24,5,21.0,3,0.9,0,0,NaN
Yeferson Soteldo,48,1,49,3800,78,6,0.14,12.43,-6.43,12.43,0.29,101,37,37.0,173,32,18.0,127,3.01,0,0,NaN
Nathan Fernandes,0,13,13,271,21,0,0.00,0.47,-0.47,0.47,0.16,8,0,0.0,13,2,15.0,4,1.33,0,0,NaN
Diego Costa,2,24,26,569,22,6,0.95,3.8,2.20,3.8,0.60,31,19,61.0,58,29,50.0,3,0.47,1,1,100.0
Matías Arezo,19,23,42,2101,50,12,0.51,11.55,0.45,11.55,0.49,102,51,50.0,170,50,29.0,20,0.86,0,0,NaN
André Henrique,0,9,9,179,20,1,0.50,1.06,-0.06,1.06,0.53,11,4,36.0,23,3,13.0,1,0.5,0,0,NaN
