Name,Initial Apps,Bench Apps,Total Apps,Mins,Mins/App,Gls,Goals/90,xG,xG Overperformance,NP-xG,NP xG/90,Shots,ShT,% Shots on Target,Hdrs A,Hdrs,% Headers Won,Drb,Dribbles/90,Pens,Pens S,% Penalties Scored
Ivan,10,2,12,981,82,0,NaN,0.0,NaN,0.0,NaN,0,0,NaN,0,0,NaN,0,0.0,0,0,NaN
Sergio Rochet,59,0,59,5229,89,0,NaN,0.0,NaN,0.0,NaN,0,0,NaN,0,0,NaN,0,0.0,0,0,NaN
Gabriel Mercado,45,1,46,3860,84,2,0.05,2.7,-0.70,2.7,0.06,28,7,25.0,244,180,73.770492,25,0.58,0,0,NaN
Maurício Antônio,1,2,3,178,59,0,0.00,0.37,-0.37,0.37,0.19,3,0,0.0,17,10,58.823529,0,0.0,0,0,NaN
Pedrão,3,8,11,458,42,0,NaN,0.0,NaN,0.0,NaN,0,0,NaN,34,23,67.647059,3,0.59,0,0,NaN
Vitão,60,0,60,5297,88,4,0.07,8.32,-4.32,8.32,0.14,60,12,20.0,388,269,69.329897,14,0.24,0,0,NaN
Robert Renan,59,0,59,5251,89,2,0.03,3.02,-1.02,3.02,0.05,27,6,22.0,340,239,70.294118,16,0.27,0,0,NaN
Renê,54,0,54,4635,86,3,0.06,2.06,0.94,2.06,0.04,24,7,29.0,228,109,47.807018,83,1.61,0,0,NaN
Vinicius Rangel,1,8,9,323,36,0,0.00,0.21,-0.21,0.21,0.06,2,0,0.0,18,9,50.000000,4,1.11,0,0,NaN
Rafael Ramos,10,3,13,859,66,1,0.10,1.44,-0.44,1.44,0.15,8,1,12.0,40,28,70.000000,22,2.31,0,0,NaN
Layvin Kurzawa,6,2,8,538,67,0,0.00,0.04,-0.04,0.04,0.01,1,0,0.0,30,23,76.666667,9,1.51,0,0,NaN
João Dalla Corte,5,4,9,474,53,0,0.00,0.06,-0.06,0.06,0.01,1,0,0.0,42,33,78.571429,0,0.0,0,0,NaN
Fernando,50,0,50,3723,74,1,0.02,1.66,-0.66,1.66,0.04,21,6,29.0,199,89,44.723618,19,0.46,1,1,100.0
Gustavo Campanharo,1,2,3,119,40,0,0.00,0.12,-0.12,0.12,0.09,2,1,50.0,11,8,72.727273,1,0.76,0,0,NaN
Bruno Henrique,52,2,54,4175,77,10,0.22,6.28,3.72,6.28,0.14,65,29,45.0,196,87,44.387755,42,0.91,1,1,100.0
Rodrigo Dourado,1,5,6,169,28,0,0.00,0.15,-0.15,0.15,0.08,1,0,0.0,8,5,62.500000,1,0.53,0,0,NaN
Gabriel,2,17,19,459,24,0,0.00,0.17,-0.17,0.17,0.03,3,0,0.0,13,3,23.076923,1,0.2,0,0,NaN
Ramiro,0,9,9,172,19,0,0.00,0.27,-0.27,0.27,0.14,4,2,50.0,6,1,16.666667,2,1.05,0,0,NaN
Thiago Maia,19,24,43,2039,47,2,0.09,3.13,-1.13,3.13,0.14,27,8,30.0,85,47,55.294118,22,0.97,0,0,NaN
Bruno Gomes,6,28,34,1048,31,0,0.00,2.0,-2.00,2.0,0.17,17,4,24.0,40,23,57.500000,12,1.03,0,0,NaN
Matheus Dias,21,3,24,1720,72,2,0.10,1.44,0.56,1.44,0.08,12,5,42.0,70,27,38.571429,23,1.2,0,0,NaN
Giuliano Galoppo,0,1,1,17,17,0,0.00,0.3,-0.30,0.3,1.59,1,0,0.0,0,0,NaN,0,0.0,0,0,NaN
Alan Patrick,52,3,55,4072,74,9,0.20,9.47,-0.47,9.47,0.21,83,33,40.0,109,32,29.357798,89,1.97,1,1,100.0
Wanderson,58,0,58,4974,86,16,0.29,14.43,1.57,14.43,0.26,134,57,43.0,240,33,13.750000,165,2.99,0,0,NaN
Hyoran,1,2,3,113,38,0,0.00,0.16,-0.16,0.16,0.13,2,1,50.0,5,1,20.000000,3,2.39,0,0,NaN
Wesley,52,0,52,3775,73,19,0.45,7.34,11.66,7.34,0.17,76,40,53.0,223,51,22.869955,153,3.65,0,0,NaN
Bruno Tabata,15,22,37,1569,42,6,0.34,5.52,0.48,5.52,0.32,51,19,37.0,92,15,16.304348,48,2.75,0,0,NaN
Gabriel Barros,7,7,14,740,53,1,0.12,1.05,-0.05,1.05,0.13,12,3,25.0,38,10,26.315789,23,2.8,0,0,NaN
Estevão,1,13,14,364,26,0,0.00,0.7,-0.70,0.7,0.17,7,2,29.0,18,5,27.777778,7,1.73,0,0,NaN
Rafael Santos Borré,26,28,54,3090,57,14,0.41,18.07,-4.07,16.45,0.48,135,69,51.0,224,49,21.875000,38,1.11,5,3,60.0
Enner Valencia,41,1,42,2707,64,14,0.47,14.5,-0.50,12.88,0.43,113,51,45.0,179,57,31.843575,39,1.3,8,6,75.0
Alemão,6,24,30,993,33,6,0.54,6.17,-0.17,6.17,0.56,53,23,43.0,85,40,47.058824,21,1.9,0,0,NaN
Lucca Holanda,0,8,8,116,14,1,0.78,0.34,0.66,0.34,0.26,7,1,14.0,11,3,27.272727,1,0.78,0,0,NaN
Lucas Alario,0,1,1,9,9,0,NaN,0.0,NaN,0.0,NaN,0,0,NaN,1,0,0.000000,0,0.0,0,0,NaN
