Name,Initial Apps,Bench Apps,Total Apps,Mins,Mins/App,Gls,Goals/90,xG,xG Overperformance,NP-xG,NP xG/90,Shots,ShT,% Shots on Target,Hdrs A,Hdrs,% Headers Won,Drb,Dribbles/90,Pens,Pens S,% Penalties Scored
Erick Farias,45,3,48,3583,75,8,0.2,9.19,-1.19,9.19,0.23,64,25,39.0,169,54,31.952663,122,3.06,0,0,NaN
Ronie Carrillo,3,28,31,733,24,6,0.74,2.34,3.66,2.34,0.29,33,18,55.0,79,33,41.772152,5,0.61,1,1,100.0
Luiz Adriano,4,21,25,790,32,5,0.57,3.35,1.65,3.35,0.38,25,12,48.0,94,38,40.425532,6,0.68,1,1,100.0
Nenê,47,1,48,2970,62,4,0.12,6.94,-2.94,6.94,0.21,63,21,33.0,157,36,22.929936,62,1.88,0,0,NaN
Edson Carioca,23,28,51,2582,51,4,0.14,6.73,-2.73,6.73,0.23,49,13,27.0,134,25,18.656716,31,1.08,0,0,NaN
Lucas Barbosa,36,4,40,3080,77,4,0.12,5.62,-1.62,5.62,0.16,56,22,39.0,187,97,51.871658,102,2.98,0,0,NaN
João Lucas,47,0,47,3893,83,4,0.09,2.92,1.08,2.92,0.07,28,7,25.0,229,147,64.192140,74,1.71,0,0,NaN
Danilo Boza,37,4,41,3396,83,3,0.08,3.59,-0.59,3.59,0.1,24,6,25.0,263,187,71.102662,19,0.5,0,0,NaN
Jean Carlos,1,21,22,620,28,3,0.44,2.18,0.82,2.18,0.32,22,11,50.0,37,8,21.621622,13,1.89,1,1,100.0
Gabriel Taliari,3,19,22,642,29,2,0.28,2.15,-0.15,2.15,0.3,21,8,38.0,37,14,37.837838,11,1.54,0,0,NaN
Gilberto,45,2,47,3339,71,11,0.3,9.29,1.71,9.29,0.25,99,49,49.0,316,75,23.734177,37,1.0,1,1,100.0
Luiz Mandaca,26,13,39,2142,55,1,0.04,1.47,-0.47,1.47,0.06,11,4,36.0,86,47,54.651163,13,0.55,0,0,NaN
Jádson,14,9,23,1223,53,1,0.07,0.16,0.84,0.16,0.01,3,1,33.0,39,13,33.333333,4,0.29,0,0,NaN
Marcelo,24,2,26,2161,83,0,0.0,1.78,-1.78,1.78,0.07,12,1,8.0,171,121,70.760234,5,0.21,0,0,NaN
Lucas Freitas,36,0,36,3177,88,0,0.0,1.07,-1.07,1.07,0.03,11,3,27.0,271,179,66.051661,8,0.23,0,0,NaN
Moraes,31,2,33,2857,87,0,0.0,0.56,-0.56,0.56,0.02,10,0,0.0,140,74,52.857143,35,1.1,0,0,NaN
Rafael Rech,1,8,9,193,21,0,0.0,0.56,-0.56,0.56,0.26,4,1,25.0,10,1,10.000000,5,2.33,0,0,NaN
Thiago Santos,33,0,33,2610,79,0,0.0,0.43,-0.43,0.43,0.01,8,0,0.0,141,77,54.609929,13,0.45,0,0,NaN
Igor Cariús,5,1,6,456,76,0,0.0,0.14,-0.14,0.14,0.03,1,0,0.0,28,19,67.857143,6,1.18,0,0,NaN
Bruno Pirri,4,1,5,415,83,0,0.0,0.13,-0.13,0.13,0.03,1,0,0.0,36,25,69.444444,0,0.0,0,0,NaN
Gabriel Inocêncio,1,7,8,223,28,0,0.0,0.11,-0.11,0.11,0.04,2,0,0.0,9,4,44.444444,3,1.21,0,0,NaN
Luís Oyama,21,6,27,1745,65,0,0.0,0.01,-0.01,0.01,0.0,2,1,50.0,74,22,29.729730,15,0.77,0,0,NaN
Mateus Claus,3,1,4,341,85,0,0.0,0.0,0.0,0.0,0.0,0,0,NaN,0,0,NaN,0,0.0,0,0,NaN
Diego,41,0,41,3690,90,0,0.0,0.0,0.0,0.0,0.0,0,0,NaN,0,0,NaN,0,0.0,0,0,NaN
Dudu Vieira,0,8,8,127,16,0,0.0,0.0,0.0,0.0,0.0,0,0,NaN,6,3,50.000000,1,0.71,0,0,NaN
Rodrigo Sam,3,13,16,437,27,0,0.0,0.0,0.0,0.0,0.0,0,0,NaN,15,9,60.000000,2,0.41,0,0,NaN
